Name,Champion,Runner_Up,Top_4,Top_6,Relegate
Alaves,0.0,0.0,0.027,0.108,0.155
Ath Bilbao,0.0,0.003,0.082,0.242,0.033
Ath Madrid,0.005,0.071,0.78,0.918,0.0
Barcelona,0.646,0.332,0.999,1.0,0.0
Betis,0.0,0.0,0.007,0.043,0.248
Celta,0.0,0.001,0.036,0.139,0.092
Eibar,0.0,0.0,0.017,0.066,0.19
Espanol,0.0,0.0,0.024,0.101,0.15
Getafe,0.0,0.0,0.019,0.102,0.159
Granada,0.0,0.0,0.001,0.008,0.606
Leganes,0.0,0.0,0.032,0.121,0.127
Levante,0.0,0.0,0.002,0.008,0.467
Mallorca,0.0,0.001,0.044,0.146,0.101
Osasuna,0.0,0.0,0.007,0.038,0.256
Real Madrid,0.347,0.566,0.995,0.999,0.0
Sevilla,0.0,0.015,0.355,0.628,0.002
Sociedad,0.0,0.001,0.065,0.206,0.063
Valencia,0.0,0.006,0.247,0.567,0.002
Valladolid,0.0,0.0,0.004,0.021,0.335
Villarreal,0.002,0.004,0.257,0.539,0.014
